nohup: ignoring input
{'active_tasks': ['forward'], 'sample_space': {'forward': {'template_count': 4, 'raw_expression_count': 1000000}}}
{'resume_from': './params/last.pt', 'step': 8200, 'best_score': 0.5, 'loss_points': 1640}
{'step': 8205, 'loss': 0.022561948746442795, 'device': 'cuda'}
{'step': 8210, 'loss': 0.022100258618593216, 'device': 'cuda'}
{'step': 8215, 'loss': 0.012760328128933907, 'device': 'cuda'}
{'step': 8220, 'loss': 0.021856483072042465, 'device': 'cuda'}
{'step': 8225, 'loss': 0.024862730875611305, 'device': 'cuda'}
{'step': 8230, 'loss': 0.012891602702438831, 'device': 'cuda'}
{'step': 8235, 'loss': 0.019663861021399498, 'device': 'cuda'}
{'step': 8240, 'loss': 0.017350921407341957, 'device': 'cuda'}
{'step': 8245, 'loss': 0.02196856029331684, 'device': 'cuda'}
{'step': 8250, 'loss': 0.016736242920160294, 'device': 'cuda'}
{'step': 8255, 'loss': 0.02050950564444065, 'device': 'cuda'}
{'step': 8260, 'loss': 0.011862026527523994, 'device': 'cuda'}
{'step': 8265, 'loss': 0.016730736941099167, 'device': 'cuda'}
{'step': 8270, 'loss': 0.013298040255904198, 'device': 'cuda'}
{'step': 8275, 'loss': 0.007731750141829252, 'device': 'cuda'}
{'step': 8280, 'loss': 0.010432424023747444, 'device': 'cuda'}
{'step': 8285, 'loss': 0.02167867310345173, 'device': 'cuda'}
{'step': 8290, 'loss': 0.017604216933250427, 'device': 'cuda'}
{'step': 8295, 'loss': 0.011290728114545345, 'device': 'cuda'}
{'step': 8300, 'loss': 0.012302299961447716, 'device': 'cuda'}
{'step': 8305, 'loss': 0.019324343651533127, 'device': 'cuda'}
{'step': 8310, 'loss': 0.019117742776870728, 'device': 'cuda'}
{'step': 8315, 'loss': 0.020946092903614044, 'device': 'cuda'}
{'step': 8320, 'loss': 0.017887573689222336, 'device': 'cuda'}
{'step': 8325, 'loss': 0.01985657401382923, 'device': 'cuda'}
{'step': 8330, 'loss': 0.014522290788590908, 'device': 'cuda'}
{'step': 8335, 'loss': 0.0158779826015234, 'device': 'cuda'}
{'step': 8340, 'loss': 0.00916361715644598, 'device': 'cuda'}
{'step': 8345, 'loss': 0.014494975097477436, 'device': 'cuda'}
{'step': 8350, 'loss': 0.011776180006563663, 'device': 'cuda'}
{'step': 8355, 'loss': 0.017793871462345123, 'device': 'cuda'}
{'step': 8360, 'loss': 0.022915562614798546, 'device': 'cuda'}
{'step': 8365, 'loss': 0.017891785129904747, 'device': 'cuda'}
{'step': 8370, 'loss': 0.01728176511824131, 'device': 'cuda'}
{'step': 8375, 'loss': 0.025744907557964325, 'device': 'cuda'}
{'step': 8380, 'loss': 0.009692670777440071, 'device': 'cuda'}
{'step': 8385, 'loss': 0.012317146174609661, 'device': 'cuda'}
{'step': 8390, 'loss': 0.011270521208643913, 'device': 'cuda'}
{'step': 8395, 'loss': 0.018708890303969383, 'device': 'cuda'}
{'step': 8400, 'loss': 0.010368152521550655, 'device': 'cuda'}
{'step': 8405, 'loss': 0.0163219403475523, 'device': 'cuda'}
{'step': 8410, 'loss': 0.014898491092026234, 'device': 'cuda'}
{'step': 8415, 'loss': 0.01643684133887291, 'device': 'cuda'}
{'step': 8420, 'loss': 0.028281506150960922, 'device': 'cuda'}
{'step': 8425, 'loss': 0.011805018410086632, 'device': 'cuda'}
{'step': 8430, 'loss': 0.03268775716423988, 'device': 'cuda'}
{'step': 8435, 'loss': 0.02039003185927868, 'device': 'cuda'}
{'step': 8440, 'loss': 0.02120865508913994, 'device': 'cuda'}
{'step': 8445, 'loss': 0.025062311440706253, 'device': 'cuda'}
{'step': 8450, 'loss': 0.02251299098134041, 'device': 'cuda'}
{'step': 8455, 'loss': 0.026516364887356758, 'device': 'cuda'}
{'step': 8460, 'loss': 0.012949053198099136, 'device': 'cuda'}
{'step': 8465, 'loss': 0.02511684037744999, 'device': 'cuda'}
{'step': 8470, 'loss': 0.028485441580414772, 'device': 'cuda'}
{'step': 8475, 'loss': 0.019947577267885208, 'device': 'cuda'}
{'step': 8480, 'loss': 0.0182641688734293, 'device': 'cuda'}
{'step': 8485, 'loss': 0.03131042420864105, 'device': 'cuda'}
{'step': 8490, 'loss': 0.015838442370295525, 'device': 'cuda'}
{'step': 8495, 'loss': 0.020653214305639267, 'device': 'cuda'}
{'step': 8500, 'loss': 0.029209120199084282, 'device': 'cuda'}
{'step': 8505, 'loss': 0.031856290996074677, 'device': 'cuda'}
{'step': 8510, 'loss': 0.025576574727892876, 'device': 'cuda'}
{'step': 8515, 'loss': 0.011727535165846348, 'device': 'cuda'}
{'step': 8520, 'loss': 0.027450520545244217, 'device': 'cuda'}
{'step': 8525, 'loss': 0.023824580013751984, 'device': 'cuda'}
{'step': 8530, 'loss': 0.0155080771073699, 'device': 'cuda'}
{'step': 8535, 'loss': 0.008241623640060425, 'device': 'cuda'}
{'step': 8540, 'loss': 0.01269811112433672, 'device': 'cuda'}
{'step': 8545, 'loss': 0.020845487713813782, 'device': 'cuda'}
{'step': 8550, 'loss': 0.007178428117185831, 'device': 'cuda'}
{'step': 8555, 'loss': 0.011918788775801659, 'device': 'cuda'}
{'step': 8560, 'loss': 0.01063274871557951, 'device': 'cuda'}
{'step': 8565, 'loss': 0.014895455911755562, 'device': 'cuda'}
{'step': 8570, 'loss': 0.022472184151411057, 'device': 'cuda'}
{'step': 8575, 'loss': 0.010648185387253761, 'device': 'cuda'}
{'step': 8580, 'loss': 0.02283324860036373, 'device': 'cuda'}
{'step': 8585, 'loss': 0.027011800557374954, 'device': 'cuda'}
{'step': 8590, 'loss': 0.028077594935894012, 'device': 'cuda'}
{'step': 8595, 'loss': 0.022503562271595, 'device': 'cuda'}
{'step': 8600, 'loss': 0.012615890242159367, 'device': 'cuda'}
{'step': 8605, 'loss': 0.020966392010450363, 'device': 'cuda'}
{'step': 8610, 'loss': 0.021493403241038322, 'device': 'cuda'}
{'step': 8615, 'loss': 0.009945543482899666, 'device': 'cuda'}
{'step': 8620, 'loss': 0.012396015226840973, 'device': 'cuda'}
{'step': 8625, 'loss': 0.02863839454948902, 'device': 'cuda'}
{'step': 8630, 'loss': 0.012955800630152225, 'device': 'cuda'}
{'step': 8635, 'loss': 0.009992707520723343, 'device': 'cuda'}
{'step': 8640, 'loss': 0.009964721277356148, 'device': 'cuda'}
{'step': 8645, 'loss': 0.018233386799693108, 'device': 'cuda'}
{'step': 8650, 'loss': 0.017351562157273293, 'device': 'cuda'}
{'step': 8655, 'loss': 0.0102938087657094, 'device': 'cuda'}
{'step': 8660, 'loss': 0.02536773309111595, 'device': 'cuda'}
{'step': 8665, 'loss': 0.02824583649635315, 'device': 'cuda'}
{'step': 8670, 'loss': 0.025414226576685905, 'device': 'cuda'}
{'step': 8675, 'loss': 0.030192572623491287, 'device': 'cuda'}
{'step': 8680, 'loss': 0.022943612188100815, 'device': 'cuda'}
{'step': 8685, 'loss': 0.020335733890533447, 'device': 'cuda'}
{'step': 8690, 'loss': 0.0170674417167902, 'device': 'cuda'}
{'step': 8695, 'loss': 0.019977519288659096, 'device': 'cuda'}
{'step': 8700, 'loss': 0.009171197190880775, 'device': 'cuda'}
{'step': 8705, 'loss': 0.012347311712801456, 'device': 'cuda'}
{'step': 8710, 'loss': 0.0302249975502491, 'device': 'cuda'}
{'step': 8715, 'loss': 0.020795350894331932, 'device': 'cuda'}
{'step': 8720, 'loss': 0.019516807049512863, 'device': 'cuda'}
{'step': 8725, 'loss': 0.0189594067633152, 'device': 'cuda'}
{'step': 8730, 'loss': 0.017093608155846596, 'device': 'cuda'}
{'step': 8735, 'loss': 0.02831858955323696, 'device': 'cuda'}
{'step': 8740, 'loss': 0.020184161141514778, 'device': 'cuda'}
{'step': 8745, 'loss': 0.022421739995479584, 'device': 'cuda'}
{'step': 8750, 'loss': 0.024389155209064484, 'device': 'cuda'}
{'step': 8755, 'loss': 0.016924748197197914, 'device': 'cuda'}
{'step': 8760, 'loss': 0.022081227973103523, 'device': 'cuda'}
{'step': 8765, 'loss': 0.01950976252555847, 'device': 'cuda'}
{'step': 8770, 'loss': 0.02024124376475811, 'device': 'cuda'}
{'step': 8775, 'loss': 0.02325693517923355, 'device': 'cuda'}
{'step': 8780, 'loss': 0.027535371482372284, 'device': 'cuda'}
{'step': 8785, 'loss': 0.020985601469874382, 'device': 'cuda'}
{'step': 8790, 'loss': 0.02551596611738205, 'device': 'cuda'}
{'step': 8795, 'loss': 0.01806219480931759, 'device': 'cuda'}
{'step': 8800, 'loss': 0.03497631102800369, 'device': 'cuda'}
{'step': 8805, 'loss': 0.01875194162130356, 'device': 'cuda'}
{'step': 8810, 'loss': 0.022605882957577705, 'device': 'cuda'}
{'step': 8815, 'loss': 0.03244917094707489, 'device': 'cuda'}
{'step': 8820, 'loss': 0.016396865248680115, 'device': 'cuda'}
{'step': 8825, 'loss': 0.029131146147847176, 'device': 'cuda'}
{'step': 8830, 'loss': 0.0278442595154047, 'device': 'cuda'}
{'step': 8835, 'loss': 0.03203355893492699, 'device': 'cuda'}
{'step': 8840, 'loss': 0.026518525555729866, 'device': 'cuda'}
{'step': 8845, 'loss': 0.030825002118945122, 'device': 'cuda'}
{'step': 8850, 'loss': 0.034171007573604584, 'device': 'cuda'}
{'step': 8855, 'loss': 0.023767706006765366, 'device': 'cuda'}
{'step': 8860, 'loss': 0.04376291483640671, 'device': 'cuda'}
{'step': 8865, 'loss': 0.022766806185245514, 'device': 'cuda'}
{'step': 8870, 'loss': 0.01574651338160038, 'device': 'cuda'}
{'step': 8875, 'loss': 0.01000831089913845, 'device': 'cuda'}
{'step': 8880, 'loss': 0.023687848821282387, 'device': 'cuda'}
{'step': 8885, 'loss': 0.030983759090304375, 'device': 'cuda'}
{'step': 8890, 'loss': 0.025739986449480057, 'device': 'cuda'}
{'step': 8895, 'loss': 0.011279462836682796, 'device': 'cuda'}
{'step': 8900, 'loss': 0.045604147017002106, 'device': 'cuda'}
{'step': 8905, 'loss': 0.021810311824083328, 'device': 'cuda'}
{'step': 8910, 'loss': 0.03387598693370819, 'device': 'cuda'}
{'step': 8915, 'loss': 0.020841924473643303, 'device': 'cuda'}
{'step': 8920, 'loss': 0.019388778135180473, 'device': 'cuda'}
{'step': 8925, 'loss': 0.014150673523545265, 'device': 'cuda'}
{'step': 8930, 'loss': 0.028617464005947113, 'device': 'cuda'}
{'step': 8935, 'loss': 0.025389429181814194, 'device': 'cuda'}
{'step': 8940, 'loss': 0.012630514800548553, 'device': 'cuda'}
{'step': 8945, 'loss': 0.012768249958753586, 'device': 'cuda'}
{'step': 8950, 'loss': 0.02160210907459259, 'device': 'cuda'}
{'step': 8955, 'loss': 0.024106280878186226, 'device': 'cuda'}
{'step': 8960, 'loss': 0.01277700811624527, 'device': 'cuda'}
{'step': 8965, 'loss': 0.021551156416535378, 'device': 'cuda'}
{'step': 8970, 'loss': 0.018973635509610176, 'device': 'cuda'}
{'step': 8975, 'loss': 0.009138203226029873, 'device': 'cuda'}
{'step': 8980, 'loss': 0.00794283952564001, 'device': 'cuda'}
{'step': 8985, 'loss': 0.01639886386692524, 'device': 'cuda'}
{'step': 8990, 'loss': 0.020135268568992615, 'device': 'cuda'}
{'step': 8995, 'loss': 0.030163340270519257, 'device': 'cuda'}
{'step': 9000, 'loss': 0.012607553973793983, 'device': 'cuda'}
{'forward': {'exact_match_rate': 0.0, 'numeric_success_rate': 0.0, 'invalid_rate': 0.0}, 'step': 9000}
{'step': 9005, 'loss': 0.02327483892440796, 'device': 'cuda'}
{'step': 9010, 'loss': 0.027701327577233315, 'device': 'cuda'}
{'step': 9015, 'loss': 0.021576054394245148, 'device': 'cuda'}
{'step': 9020, 'loss': 0.024035368114709854, 'device': 'cuda'}
{'step': 9025, 'loss': 0.013086048886179924, 'device': 'cuda'}
{'step': 9030, 'loss': 0.02257828786969185, 'device': 'cuda'}
{'step': 9035, 'loss': 0.019465627148747444, 'device': 'cuda'}
{'step': 9040, 'loss': 0.03151249140501022, 'device': 'cuda'}
{'step': 9045, 'loss': 0.03178643807768822, 'device': 'cuda'}
{'step': 9050, 'loss': 0.02474844455718994, 'device': 'cuda'}
{'step': 9055, 'loss': 0.019087016582489014, 'device': 'cuda'}
{'step': 9060, 'loss': 0.03924459218978882, 'device': 'cuda'}
{'step': 9065, 'loss': 0.01457810029387474, 'device': 'cuda'}
